order_id,order_date,customer_id,customer_name,product_id,product_name,category,quantity,price,city,payment_type
ORD000060977,2026-01-12,CUST149381,Gaurika Kapoor,PROD100070,USB Flash Drive Variant 1,Electronics,5,31429.78,Raipur,Debit Card
ORD000060978,2026-01-12,CUST116650,Charvi More,PROD100533,Hair Dryer Variant 4,Beauty,2,74483.08,New Delhi,Credit Card
ORD000060979,2026-01-12,CUST140174,Pranit Nori,PROD100042,Mouse Variant 3,Electronics,1,63269.16,Siliguri,Cash on Delivery
ORD000060980,2026-01-12,CUST138229,Pooja Shere,PROD100185,Skirt Variant 1,Clothing,1,72493.16,Mira-Bhayandar,Net Banking
ORD000060981,2026-01-12,CUST124770,Yahvi Kale,PROD100566,Badminton Racket Variant 2,Sports,1,14475.14,Silchar,UPI
ORD000060982,2026-01-12,CUST111337,Ayaan Patla,PROD100444,History Book Variant 5,Books,4,37014.4,Shahjahanpur,Net Banking
ORD000060983,2026-01-12,CUST144383,Wriddhish Dey,PROD100298,Lamp Variant 4,Home,5,73119.94,Tenali,Net Banking
ORD000060984,2026-01-12,CUST111434,Udarsh Atwal,PROD100032,Power Bank Variant 3,Electronics,1,2505.46,Erode,Cash on Delivery
ORD000060985,2026-01-12,CUST127469,Tanvi Yadav,PROD100222,Sweater Variant 3,Clothing,2,26488.26,Rajkot,Credit Card
ORD000060986,2026-01-12,CUST134291,Faris Prashad,PROD100528,Face Razor Variant 4,Beauty,4,74467.23,Phusro,Cash on Delivery
ORD000060987,2026-01-12,CUST117068,Jalsa Raman,PROD100107,Projector Variant 3,Electronics,5,52476.49,Nadiad,Debit Card
ORD000060988,2026-01-12,CUST101025,Adya Mander,PROD100514,Hair Mask Variant 5,Beauty,4,78004.63,Muzaffarpur,Cash on Delivery
ORD000060989,2026-01-12,CUST146026,Kashish Randhawa,PROD100312,Pillow Variant 3,Home,5,7910.82,Siwan,Debit Card
ORD000060990,2026-01-12,CUST138530,Ikbal Lad,PROD100544,Body Lotion Variant 5,Beauty,4,4490.13,Bhiwandi,Cash on Delivery
ORD000060991,2026-01-12,CUST124648,Yutika Hayer,PROD100530,Hair Dryer Variant 1,Beauty,2,45582.95,Loni,UPI
ORD000060992,2026-01-12,CUST124288,Robert Raval,PROD100423,Medical Book Variant 4,Books,3,66984.21,Katni,Cash on Delivery
ORD000060993,2026-01-12,CUST131534,Balendra Pall,PROD100367,Biography Variant 3,Books,1,59522.76,Nagpur,UPI
